timestamp,price_eur_mwh
2026-06-01 00:00:00,28.46
2026-06-01 01:00:00,24.44
2026-06-01 02:00:00,26.13
2026-06-01 03:00:00,25.41
2026-06-01 04:00:00,21.07
2026-06-01 05:00:00,23.05
2026-06-01 06:00:00,32.19
2026-06-01 07:00:00,44.53
2026-06-01 08:00:00,51.97
2026-06-01 09:00:00,46.72
2026-06-01 10:00:00,43.32
2026-06-01 11:00:00,39.17
2026-06-01 12:00:00,36.1
2026-06-01 13:00:00,36.69
2026-06-01 14:00:00,34.7
2026-06-01 15:00:00,34.71
2026-06-01 16:00:00,42.55
2026-06-01 17:00:00,53.56
2026-06-01 18:00:00,63.32
2026-06-01 19:00:00,57.93
2026-06-01 20:00:00,47.72
2026-06-01 21:00:00,38.98
2026-06-01 22:00:00,35.83
2026-06-01 23:00:00,29.77
2026-06-02 00:00:00,27.36
2026-06-02 01:00:00,25.47
2026-06-02 02:00:00,25.8
2026-06-02 03:00:00,24.55
2026-06-02 04:00:00,24.62
2026-06-02 05:00:00,25.65
2026-06-02 06:00:00,35.21
2026-06-02 07:00:00,44.39
2026-06-02 08:00:00,51.23
2026-06-02 09:00:00,46.78
2026-06-02 10:00:00,42.92
2026-06-02 11:00:00,39.69
2026-06-02 12:00:00,35.83
2026-06-02 13:00:00,33.74
2026-06-02 14:00:00,32.76
2026-06-02 15:00:00,36.98
2026-06-02 16:00:00,43.11
2026-06-02 17:00:00,55.81
2026-06-02 18:00:00,61.0
2026-06-02 19:00:00,58.35
2026-06-02 20:00:00,48.18
2026-06-02 21:00:00,40.33
2026-06-02 22:00:00,35.31
2026-06-02 23:00:00,30.34
2026-06-03 00:00:00,29.02
2026-06-03 01:00:00,26.1
2026-06-03 02:00:00,25.43
2026-06-03 03:00:00,24.95
2026-06-03 04:00:00,21.81
2026-06-03 05:00:00,24.52
2026-06-03 06:00:00,31.29
2026-06-03 07:00:00,44.04
2026-06-03 08:00:00,51.59
2026-06-03 09:00:00,50.24
2026-06-03 10:00:00,40.7
2026-06-03 11:00:00,39.45
2026-06-03 12:00:00,33.48
2026-06-03 13:00:00,34.5
2026-06-03 14:00:00,34.24
2026-06-03 15:00:00,36.88
2026-06-03 16:00:00,43.07
2026-06-03 17:00:00,56.19
2026-06-03 18:00:00,61.48
2026-06-03 19:00:00,57.31
2026-06-03 20:00:00,49.29
2026-06-03 21:00:00,39.71
2026-06-03 22:00:00,32.09
2026-06-03 23:00:00,28.3
